time,dataset,accuracy,aggregation,k,batch_size,seed,srocc,plcc,baseline,setup,finetune
1692731400.6265194,tid2013,76.83333333333333,averaging,9,32,1,0.8820531493742156,0.8917607542156853,no,reference,1
1692732100.1910937,tid2013,77.83333333333333,averaging,9,32,2,0.9026359490070324,0.9127255237284124,no,reference,1
1692732804.0438468,tid2013,74.33333333333333,averaging,9,32,3,0.8734313467780545,0.883946790290658,no,reference,1
1692733495.757455,tid2013,72.16666666666667,averaging,9,32,4,0.8664502220472123,0.8745699848047667,no,reference,1
1692734187.2603824,tid2013,80.16666666666666,averaging,9,32,5,0.9139728843758154,0.9187515447444252,no,reference,1
1692734884.1583357,tid2013,80.83333333333333,averaging,9,32,6,0.9114865619615928,0.91859866956549,no,reference,1
1692735599.653085,tid2013,75.5,averaging,9,32,7,0.8680657205136575,0.884135633311188,no,reference,1
1692736337.8590968,tid2013,75.16666666666667,averaging,9,32,8,0.912798190126458,0.9215141396996722,no,reference,1
1692737049.1177487,tid2013,73.83333333333333,averaging,9,32,9,0.864137220153288,0.873542359487157,no,reference,1
1692737779.3241203,tid2013,76.5,averaging,9,32,10,0.862170980180517,0.8775029552688226,no,reference,1
1692738485.4755807,tid2013,80.0,averaging,9,32,11,0.905093118027972,0.9068145678704262,no,reference,1
1692739198.3701606,tid2013,73.5,averaging,9,32,12,0.8795518600310926,0.8905703821303593,no,reference,1
1692739935.351833,tid2013,64.66666666666666,averaging,9,32,13,0.6648812312816438,0.6988187016776366,no,reference,1
1692740664.504069,tid2013,73.16666666666667,averaging,9,32,14,0.8906885422924964,0.8897150458199262,no,reference,1
1692741388.3541546,tid2013,72.66666666666667,averaging,9,32,15,0.9113752866525694,0.9108736400409464,no,reference,1
1692741862.4348936,csiq,76.4367816091954,averaging,9,32,1,0.9610888249544376,0.964257504031696,no,reference,1
1692742322.650643,csiq,83.9080459770115,averaging,9,32,2,0.9645115179817192,0.963704363076516,no,reference,1
1692742804.325425,csiq,82.75862068965517,averaging,9,32,3,0.9549354280056698,0.9636561994374993,no,reference,1
1692743290.4374502,csiq,69.94219653179191,averaging,9,32,4,0.945733891822551,0.9503256040305949,no,reference,1
1692743766.905372,csiq,76.30057803468208,averaging,9,32,5,0.951496859223486,0.957118259321564,no,reference,1
1692744234.301946,csiq,85.63218390804597,averaging,9,32,6,0.9631509798976362,0.9656894519417616,no,reference,1
1692744688.5199287,csiq,83.33333333333334,averaging,9,32,7,0.955577272220526,0.9613167286647442,no,reference,1
1692745145.7192647,csiq,80.92485549132948,averaging,9,32,8,0.9574417662749232,0.9615406838066474,no,reference,1
1692745595.4285743,csiq,86.7816091954023,averaging,9,32,9,0.9559668555482784,0.96475337729803,no,reference,1
1692746022.9569013,csiq,86.20689655172413,averaging,9,32,10,0.9617056076231564,0.9647805839498788,no,reference,1
1692746494.442939,csiq,76.30057803468208,averaging,9,32,11,0.944955079975475,0.951207684182872,no,reference,1
1692746945.4554486,csiq,85.63218390804597,averaging,9,32,12,0.9504717397520744,0.9604637562925094,no,reference,1
1692747374.9313571,csiq,81.97674418604652,averaging,9,32,13,0.957283491609392,0.9598524268884512,no,reference,1
1692747846.5189464,csiq,82.08092485549133,averaging,9,32,14,0.966243202605263,0.9722984694967184,no,reference,1
1692748315.8589256,csiq,85.63218390804597,averaging,9,32,15,0.9591064432966292,0.9615028633674176,no,reference,1
1692750791.4453335,kadid10k,87.62352941176471,averaging,9,32,1,0.9438088221663716,0.9462067366263394,no,reference,1
1692753264.2157888,kadid10k,86.63529411764705,averaging,9,32,2,0.9290991788595668,0.9306803642661564,no,reference,1
1692755809.678178,kadid10k,87.90588235294118,averaging,9,32,3,0.947469702840691,0.9489868980372828,no,reference,1
1692758351.5587149,kadid10k,86.91764705882353,averaging,9,32,4,0.9327805465199652,0.936691455625894,no,reference,1
1692760801.2764866,kadid10k,87.05882352941177,averaging,9,32,5,0.9229002649147172,0.9257437254483348,no,reference,1
1692763350.468424,kadid10k,87.05882352941177,averaging,9,32,6,0.93277160022243,0.9333291240095866,no,reference,1
1692765884.5292249,kadid10k,87.95294117647059,averaging,9,32,7,0.9372976932195008,0.9395899796352418,no,reference,1
1692768394.0017347,kadid10k,87.05882352941177,averaging,9,32,8,0.9303968345001368,0.9338687933438063,no,reference,1
1692773400.567629,kadid10k,86.58823529411764,averaging,9,32,10,0.9314573958902258,0.9338965527580856,no,reference,1
1692775920.1952376,kadid10k,86.72941176470587,averaging,9,32,11,0.9278001702813612,0.9306861347676536,no,reference,1
1692778471.848211,kadid10k,84.94117647058823,averaging,9,32,12,0.9212974444526044,0.9226922401282796,no,reference,1
1692781495.2931955,kadid10k,87.24705882352941,averaging,9,32,13,0.9198524039905768,0.9230499060106926,no,reference,1
1692792078.3451118,koniq10k,88.44142857142857,averaging,9,8,1,0.7838271220984678,0.8111689167638875,no,no_reference,0
1692792578.5376742,koniq10k,88.44142857142857,averaging,9,8,1,0.7838271220984678,0.8111689167638875,no,no_reference,0
1692792791.978736,liveitw,88.44142857142857,averaging,9,8,1,0.5053845197522401,0.5386563957163266,no,no_reference,0
1692792820.6103947,tid2013,88.44142857142857,averaging,9,96,1,0.843808995582681,0.8655880149459276,no,no_reference,0
1692792852.0760026,tid2013,88.44142857142857,averaging,9,96,2,0.8469764236973579,0.8699232456133266,no,no_reference,0
1692792890.1166945,tid2013,88.44142857142857,averaging,9,96,3,0.8296457332248652,0.8552571231038559,no,no_reference,0
1692792923.3967383,tid2013,88.44142857142857,averaging,9,96,4,0.8265729191526725,0.8555656406237905,no,no_reference,0
1692792952.165445,tid2013,88.44142857142857,averaging,9,96,5,0.8775852171260493,0.8892853874252105,no,no_reference,0
1692792980.796202,tid2013,88.44142857142857,averaging,9,96,6,0.8488477295610946,0.868827043250741,no,no_reference,0
1692793010.278035,tid2013,88.44142857142857,averaging,9,96,7,0.8663150955855801,0.8810906854423127,no,no_reference,0
1692793038.123381,tid2013,88.44142857142857,averaging,9,96,8,0.8284366314301584,0.8470137816927267,no,no_reference,0
1692793066.260294,tid2013,88.44142857142857,averaging,9,96,9,0.8058427625137248,0.8319291367535797,no,no_reference,0
1692793090.4481409,tid2013,88.44142857142857,averaging,9,96,10,0.8435537871687321,0.8713046481053246,no,no_reference,0
1692793117.830888,tid2013,88.44142857142857,averaging,9,96,11,0.8683569916459822,0.8770217726893528,no,no_reference,0
1692793146.857527,tid2013,88.44142857142857,averaging,9,96,12,0.8630413409655293,0.873217408039197,no,no_reference,0
1692793175.769684,tid2013,88.44142857142857,averaging,9,96,13,0.7755369905563952,0.8059854603310892,no,no_reference,0
1692793201.7251692,tid2013,88.44142857142857,averaging,9,96,14,0.8567375351310331,0.8659899074099826,no,no_reference,0
1692793230.46946,tid2013,88.44142857142857,averaging,9,96,15,0.865402892999827,0.8747789428221516,no,no_reference,0
1692793260.0823865,tid2013,88.44142857142857,averaging,9,96,16,0.8440429809287842,0.857329558291102,no,no_reference,0
1692793289.213839,tid2013,88.44142857142857,averaging,9,96,17,0.8714181475459661,0.8895440797150749,no,no_reference,0
1692793319.618749,tid2013,88.44142857142857,averaging,9,96,18,0.8685272800094272,0.8843029356345239,no,no_reference,0
1692793347.632386,tid2013,88.44142857142857,averaging,9,96,19,0.8203621646923005,0.8486137915551514,no,no_reference,0
1692793374.94736,tid2013,88.44142857142857,averaging,9,96,20,0.8352239548458946,0.8558084617655104,no,no_reference,0
1692793888.4327888,csiq,88.44142857142857,averaging,9,96,1,0.91139207346014,0.9286558148640836,no,no_reference,0
1692793908.7142594,csiq,88.44142857142857,averaging,9,96,2,0.9043731313533984,0.9182344114464336,no,no_reference,0
1692793930.3800335,csiq,88.44142857142857,averaging,9,96,3,0.9279517799208656,0.9411137373881396,no,no_reference,0
1692793955.934932,csiq,88.44142857142857,averaging,9,96,4,0.8977481781410869,0.9183163042458472,no,no_reference,0
1692793977.133957,csiq,88.44142857142857,averaging,9,96,5,0.9390021247539744,0.9506609930421296,no,no_reference,0
1692793998.3875868,csiq,88.44142857142857,averaging,9,96,6,0.898063668136293,0.9203932490753416,no,no_reference,0
1692794021.8725772,csiq,88.44142857142857,averaging,9,96,7,0.9063712132250454,0.9204935680177032,no,no_reference,0
1692794041.800521,csiq,88.44142857142857,averaging,9,96,8,0.9459708456026784,0.954078045897339,no,no_reference,0
1692794062.281863,csiq,88.44142857142857,averaging,9,96,9,0.9080156040889548,0.92002462852728,no,no_reference,0
1692794082.4212952,csiq,88.44142857142857,averaging,9,96,10,0.9033565325645888,0.9199042782166342,no,no_reference,0
1692794103.5687227,csiq,88.44142857142857,averaging,9,96,11,0.926436078306566,0.941772554329787,no,no_reference,0
1692794122.8706317,csiq,88.44142857142857,averaging,9,96,12,0.9199977220308097,0.9348614626025924,no,no_reference,0
1692794142.7650323,csiq,88.44142857142857,averaging,9,96,13,0.9398186771819892,0.9501753749804376,no,no_reference,0
1692794163.110916,csiq,88.44142857142857,averaging,9,96,14,0.934078089283957,0.9465261354003148,no,no_reference,0
1692794189.2804372,csiq,88.44142857142857,averaging,9,96,15,0.9142549617016428,0.9278321697673708,no,no_reference,0
1692794213.096625,csiq,88.44142857142857,averaging,9,96,16,0.9030423485533888,0.9273110972463122,no,no_reference,0
1692794237.96937,csiq,88.44142857142857,averaging,9,96,17,0.9245809960420284,0.9380138546294736,no,no_reference,0
1692794255.8017085,csiq,88.44142857142857,averaging,9,96,18,0.8770119056113489,0.9001378563894211,no,no_reference,0
1692794275.4353125,csiq,88.44142857142857,averaging,9,96,19,0.9380463666161052,0.9424336022728677,no,no_reference,0
1692794295.2468705,csiq,88.44142857142857,averaging,9,96,20,0.925438006900569,0.9388537513882969,no,no_reference,0
1692794374.7749922,kadid10k,88.44142857142857,averaging,9,96,1,0.9307866995230656,0.932447837616477,no,no_reference,0
1692794457.5132897,kadid10k,88.44142857142857,averaging,9,96,2,0.9238807394012946,0.9252315413291684,no,no_reference,0
1692794540.9184167,kadid10k,88.44142857142857,averaging,9,96,3,0.922492935462005,0.9227268034233324,no,no_reference,0
1692794625.7495706,kadid10k,88.44142857142857,averaging,9,96,4,0.9189660926760916,0.9210202347959678,no,no_reference,0
1692794706.3666582,kadid10k,88.44142857142857,averaging,9,96,5,0.9146114466263244,0.9155666624617742,no,no_reference,0
1692794787.2037437,kadid10k,88.44142857142857,averaging,9,96,6,0.9247875330494514,0.9253806079463056,no,no_reference,0
1692794873.1848712,kadid10k,88.44142857142857,averaging,9,96,7,0.9279607630141852,0.9296401458602208,no,no_reference,0
1692794955.2556005,kadid10k,88.44142857142857,averaging,9,96,8,0.9170048737181145,0.921051095075186,no,no_reference,0
1692795036.5159214,kadid10k,88.44142857142857,averaging,9,96,9,0.9231498902681076,0.9231967992634806,no,no_reference,0
1692795126.0422585,kadid10k,88.44142857142857,averaging,9,96,10,0.9220490301161464,0.9222524674729796,no,no_reference,0
1692795200.3156517,kadid10k,88.44142857142857,averaging,9,96,11,0.9245017805161976,0.9269209132897142,no,no_reference,0
1692795284.0585828,kadid10k,88.44142857142857,averaging,9,96,12,0.9100777867543824,0.9113223492958048,no,no_reference,0
1692795371.4318075,kadid10k,88.44142857142857,averaging,9,96,13,0.9175988692019124,0.9199634058102164,no,no_reference,0
1692795458.48763,kadid10k,88.44142857142857,averaging,9,96,14,0.9161782725020576,0.9180563946409136,no,no_reference,0
1692795545.2713523,kadid10k,88.44142857142857,averaging,9,96,15,0.9291958028226396,0.9301532811588088,no,no_reference,0
1692795619.4827385,kadid10k,88.44142857142857,averaging,9,96,16,0.9048701395916158,0.9069339923079028,no,no_reference,0
1692795701.5024796,kadid10k,88.44142857142857,averaging,9,96,17,0.9156683556562618,0.9172194360094736,no,no_reference,0
1692795784.0905588,kadid10k,88.44142857142857,averaging,9,96,18,0.923125535841916,0.9248527055906766,no,no_reference,0
1692795862.7117486,kadid10k,88.44142857142857,averaging,9,96,19,0.9243836824820404,0.9268010662846649,no,no_reference,0
1692795947.463776,kadid10k,88.44142857142857,averaging,9,96,20,0.9256228872830808,0.9265928855813608,no,no_reference,0
1692798119.4789302,koniq10k,88.44142857142857,averaging,9,6,1,0.8849489618131038,0.8898047966559833,tres,no_reference,0
1692798491.952905,liveitw,88.44142857142857,averaging,9,6,1,0.8964487069325814,0.9160932425495476,tres,no_reference,0
1692799545.6104977,koniq10k,88.44142857142857,averaging,9,6,2,0.8849489618131038,0.8898047966559833,tres,no_reference,0
1692799952.1943676,tid2013,88.44142857142857,averaging,9,6,1,0.9432615269891128,0.943642792211725,tres,no_reference,0
1692802815.8981335,koniq10k,88.44142857142857,averaging,9,6,2,0.8729674988181191,0.8799078328769993,tres,no_reference,0
1692803119.6916668,tid2013,88.44142857142857,averaging,9,6,1,0.9432615269891128,0.943642792211725,tres,no_reference,0
1692803522.8057284,tid2013,88.44142857142857,averaging,9,6,2,0.9396262947328344,0.943445882386146,tres,no_reference,0
1692803994.6537154,tid2013,88.44142857142857,averaging,9,5,3,0.9178201895714186,0.9206773796988204,tres,no_reference,0
1692804147.8733766,tid2013,88.44142857142857,averaging,9,5,4,0.933423452313719,0.9380907556460328,tres,no_reference,0
1692804288.653783,tid2013,88.44142857142857,averaging,9,5,5,0.9593027399232582,0.9614352269050122,tres,no_reference,0
1692804473.16438,tid2013,88.44142857142857,averaging,9,5,6,0.9159396516815188,0.929971102670674,tres,no_reference,0
1692804677.6564865,tid2013,88.44142857142857,averaging,9,5,7,0.9467182742428472,0.9509509134579588,tres,no_reference,0
1692804902.6515896,tid2013,88.44142857142857,averaging,9,5,8,0.9442747761159755,0.9480845431628144,tres,no_reference,0
1692805102.788653,tid2013,88.44142857142857,averaging,9,5,9,0.9274036111343584,0.9317786838151128,tres,no_reference,0
1692805320.0800672,tid2013,88.44142857142857,averaging,9,5,10,0.9202367801093984,0.9340226508942248,tres,no_reference,0
1692805525.076154,tid2013,88.44142857142857,averaging,9,5,11,0.9624005106268632,0.9598369578232832,tres,no_reference,0
1692805719.629955,tid2013,88.44142857142857,averaging,9,5,12,0.9265328074521054,0.9322556898679882,tres,no_reference,0
1692805861.0802424,tid2013,88.44142857142857,averaging,9,5,13,0.8947640718351496,0.9117447327376856,tres,no_reference,0
1692806000.4892154,tid2013,88.44142857142857,averaging,9,5,14,0.9446169139044776,0.9411999820251312,tres,no_reference,0
1692806145.9274664,tid2013,88.44142857142857,averaging,9,5,15,0.9514024258114512,0.9539882088531404,tres,no_reference,0
1692806282.7638884,tid2013,88.44142857142857,averaging,9,5,16,0.9262566151483996,0.9298621963344356,tres,no_reference,0
1692806571.2809894,koniq10k,88.44142857142857,averaging,9,8,1,0.7343625715015253,0.7707202210720832,no,no_reference,0
1692806928.2094162,koniq10k,88.44142857142857,averaging,9,5,1,0.9107481736991856,0.9244087447865634,tres,no_reference,0
1692807075.661534,tid2013,88.44142857142857,averaging,9,5,3,0.9178201895714186,0.9206773796988204,tres,no_reference,0
1692807224.924279,tid2013,88.44142857142857,averaging,9,5,4,0.933423452313719,0.9380907556460328,tres,no_reference,0
1692807363.046564,tid2013,88.44142857142857,averaging,9,5,5,0.9593027399232582,0.9614352269050122,tres,no_reference,0
1692807503.287734,tid2013,88.44142857142857,averaging,9,5,6,0.9159396516815188,0.929971102670674,tres,no_reference,0
1692807647.4877045,tid2013,88.44142857142857,averaging,9,5,7,0.9467182742428472,0.9509509134579588,tres,no_reference,0
1692807785.5921886,tid2013,88.44142857142857,averaging,9,5,8,0.9442747761159755,0.9480845431628144,tres,no_reference,0
1692807927.3461432,tid2013,88.44142857142857,averaging,9,5,9,0.9274036111343584,0.9317786838151128,tres,no_reference,0
1692808071.547181,tid2013,88.44142857142857,averaging,9,5,10,0.9202367801093984,0.9340226508942248,tres,no_reference,0
1692808213.1129577,tid2013,88.44142857142857,averaging,9,5,11,0.9624005106268632,0.9598369578232832,tres,no_reference,0
1692808357.4376156,tid2013,88.44142857142857,averaging,9,5,12,0.9265328074521054,0.9322556898679882,tres,no_reference,0
1692808498.1503031,tid2013,88.44142857142857,averaging,9,5,13,0.8947640718351496,0.9117447327376856,tres,no_reference,0
